StudentId,E,M,S,H,P,F,A,Avg
Student1,84,65,72,65,95,75,97,80
Student2,94,90,92,85,100,97,0,91
Student3,92,0,71,0,90,0,0,80
Student4,66,55,72,65,80,65,0,67
Student5,0,89,95,0,100,0,0,94
Student6,45,55,78,65,45,65,0,58
Student7,85,83,100,70,90,90,0,84
Student8,67,76,80,84,95,67,76,80
Student9,93,85,83,86,94,97,94,90
Student10,89,77,88,0,95,73,0,85
Student11,0,87,97,0,90,99,0,94
Student12,96,86,77,0,100,100,0,92
Student13,85,90,86,86,90,96,0,88
Student14,85,88,100,75,87,92,0,88
Student15,65,65,85,82,95,82,0,81
Student16,85,80,90,75,90,0,0,84
Student17,92,86,89,85,88,92,94,90
Student18,95,81,73,76,95,92,0,84
Student19,90,0,100,65,99,87,0,88
Student20,82,0,0,0,95,96,0,91
Student21,0,67,69,0,88,0,0,73
Student22,0,0,80,0,80,0,0,80
Student23,78,65,65,0,100,0,78,76
Student24,95,96,88,0,95,91,0,94
Student25,65,0,0,0,90,0,0,68
Student26,86,72,100,80,95,82,0,87
Student27,95,100,97,0,90,98,0,94
Student28,0,0,79,0,100,0,0,90
Student29,70,72,80,0,80,0,0,82
Student30,80,86,73,65,100,88,0,82
Student31,82,87,0,0,95,0,93,89
Student32,73,80,45,0,45,45,0,57
Student33,92,95,93,93,90,85,0,91
Student34,0,0,90,82,95,0,0,91
Student35,0,86,90,0,100,0,0,94
Student36,69,0,90,0,90,0,0,87
Student37,0,0,80,0,100,0,0,89
Student38,45,55,0,0,65,0,0,55
Student39,0,65,65,0,80,45,0,65
Student40,45,69,73,0,90,0,0,69
Student41,65,0,0,0,45,55,0,57
Student42,0,0,55,0,90,0,0,79
Student43,65,0,65,0,90,0,0,71
Student44,0,65,95,92,95,92,0,88
Student45,65,0,45,0,45,0,0,50
Student46,65,0,68,0,80,0,0,71
Student47,70,0,90,0,90,0,70,79
Student48,0,0,85,80,90,0,0,81
Student49,65,0,80,0,90,0,81,76
Student50,0,71,0,95,100,0,0,89
Student51,92,95,94,96,100,100,0,95
Student52,98,0,94,0,98,0,0,96
Student53,65,89,96,0,90,93,0,88
Student54,0,0,0,0,100,0,90,96
Student55,0,100,0,0,93,0,100,98
Student56,0,75,90,72,95,0,0,85
Student57,100,97,97,89,90,94,0,92
