Grade,Course,Period,Room,Mark1
10,GLFG5H,1,334B,92
10,GLFG5H,1,334B,92
12,GLFGDH,1,334B,96
11,MQFG9HQT,1,207,100
11,MQFG9QQT,1,207,88
11,GLFG9H,1,334B,97
12,GLFGDH,1,334B,97
10,MQFG5HQT,1,207,97
12,GLFGDH,1,334B,97
10,MQFG5QQT,1,207,85
11,MQFG9HQT,1,207,100
11,MQFG9QQT,1,207,85
10,MQFG5QQT,1,207,85
11,GLFG9H,1,334B,95
10,GLFG5H,1,334B,92
11,GLFG9H,1,334B,92
10,MQFG5HQT,1,207,100
11,MQFG9HQT,1,207,100
11,MQFG9HQT,1,207,100
10,MQFG5QQT,1,207,85
10,MQFG5HQT,1,207,99
12,GLFGDH,1,334B,96
10,MQFG5HQT,1,207,100
10,MQFG5HQT,1,207,95
11,MQFG9HQT,1,207,100
10,MQFG5HQT,1,207,100
11,GLFG9H,1,334B,93
10,MQFG5HQT,1,207,96
11,GLFG9H,1,334B,91
10,MQFG5HQT,1,207,100
11,GLFG9H,1,334B,96
10,GLFG5H,1,334B,94
12,MQFGDHQT,1,207,100
10,GLFG5H,1,334B,91
9,GLFG5,1,334B,88
10,GLFG5H,1,334B,96
11,GLFG9H,1,334B,96
10,MQFG5HQT,1,207,93
12,HEF21,1,317,95
12,GLFGDH,1,334B,98
11,GLFG9H,1,334B,97
10,MQFG5HQT,1,207,97
10,GLFG5H,1,334B,91
10,GLFG5H,1,334B,97
10,MQFG5HQT,1,207,93
10,MQFG5QQT,1,207,85
10,MQFG5QQT,1,207,87
10,MQFG5HQT,1,207,97
12,GLFGDH,1,334B,95
10,GLFG5H,1,334B,91
10,GLFG5H,1,334B,91
12,GLFGDH,1,334B,97
10,MQFG5HQT,1,207,91
12,GLFGDH,1,334B,97
10,MQFG5QQT,1,207,87
9,MQFG1HQT,1,207,94
10,MQFG5HQT,1,207,100
10,GLFG5H,1,334B,92
9,MQFG1HQT,1,207,98
9,MQFG1HQT,1,207,97
12,GLFGDH,1,334B,95
10,GLFG5H,1,334B,90
11,GLFG9H,1,334B,93
11,MQFG9HQT,1,207,100
10,GLFG5,1,334B,89
10,MQFG5HQT,1,207,100
9,MQFG1QQT,1,207,89
10,GLFG5,1,334B,89
9,PPF41Q3B,2,GYM3,90
9,MEF41H,2,203,90
9,PPF41Q2B,2,GYM1,98
9,HGF85QF,2,321,65
10,MGF41QGF,2,207,45
11,MPF41UQJ,2,214,91
9,AUFC1TA,2,204,45
12,SHFC7TM,2,248,65
11,FLFC9H,2,121,93
10,MQF41QGF,2,106,75
9,EEFG1QGB,2,250,65
12,EEF21U,2,347,68
10,PPF41Q2B,2,GYM3,45
9,SLF41,2,332,74
10,EEF21C,2,350,70
9,MEF41,2,203,88
10,EEFG5H,2,146,95
9,PPF41Q3B,2,GYM3,90
11,EEFGDQT,2,246,88
10,UAF85Q3,2,227,65
9,EEFG1QGB,2,250,72
9,HGF81QGD,2,313,68
9,EEFG1HB,2,330,99
12,HFF41H,2,323,96
9,FSFC5,2,113,80
11,EEFGDUQJ,2,348,88
12,BCF41T,2,108,96
12,PPF41Q3B,2,GYM3,90
9,PPF41Q3G,2,GYM2,97
10,BCF41T,2,108,75
11,UAF85Q2,2,227,73
11,UAF85Q3,2,227,70
9,FFFC5,2,111,45
10,SWF41QG,2,231,65
11,SWF41QG,2,231,86
11,MPF21U,2,205,80
9,PPF41Q2B,2,GYM1,90
12,SPF41H,2,238,95
12,HBF21U,2,314,90
12,EEF21U,2,349,95
9,MGF41QGF,2,207,55
9,EEFGDQG,2,246,45
9,EEFG1QGB,2,250,65
9,SEF41,2,B30,86
10,SEF41,2,B30,89
9,SEF41,2,B30,83
10,EEFG5,2,146,88
10,MRF41,2,225,70
11,BCF41T,2,108,78
11,UAF41Q2,2,227,78
9,PPF41Q3G,2,GYM2,100
10,PPF41Q3B,2,GYM3,90
10,PPF41Q3G,2,GYM2,95
9,SWF41QG,2,231,72
9,PPF41Q2G,2,GYM2,100
9,PPF41Q3B,2,GYM1,95
9,FSFC5,2,113,88
9,SLF41QB,2,229,55
9,PHF41H2,2,B17,96
9,PPF41Q3G,2,GYM2,100
12,UEFGD,2,B27,80
11,UEFG9H,2,B27,95
12,EEFGDUQF,2,336,90
9,PPF41Q2G,2,GYM2,88
9,PHF41Q3,2,B17,45
9,PPF41Q2G,2,GYM2,45
9,EEFG1HB,2,330,90
12,MPF21U,2,205,81
9,HGF81QF,2,326,70
11,EEFGDUQF,2,336,73
9,FSFC5,2,113,76
10,FFFC5H,2,111,91
9,HQF41HHB,2,333,90
9,FSFC5,2,113,65
11,BCF41T,2,108,85
11,PPF41Q2G,2,GYM2,100
11,MPF41UQJ,2,214,96
11,MRF41,2,211,88
11,HFF41X,2,324,80
9,PHF41Q3,2,B17,88
9,PPF41Q2B,2,GYM1,85
10,HUF41UQX,2,325,75
11,UAF41Q3,2,227,45
11,MQF41HTF,2,106,97
10,EEFGDUGJ,2,B6,93
9,PHF41Q3,2,B17,75
9,PPF41Q2B,2,GYM3,80
9,HGF81QGD,2,311,65
12,HBF21U,2,314,90
9,SLF41,2,332,80
9,PHF41Q3,2,B17,65
9,PPF41Q2G,2,GYM2,45
12,EEFGDUQF,2,336,85
9,PHF41H3,2,B17,100
9,PPF41Q2G,2,GYM2,88
11,SRF21U,2,346,65
9,FMFC1,2,116,72
10,FSFC5,2,113,72
12,EEFGDHG,2,246,90
11,EEFG9,2,334B,67
11,EEFGDUQJ,2,348,85
9,PPF41Q2B,2,GYM1,95
9,PPF41Q3G,2,GYM2,45
10,UAF85Q3,2,227,89
10,HUF41UQX,2,325,93
12,PQF41Q2Y,2,251,100
12,PQF41Q3Y,2,251,100
10,EEFG5HT,2,249,96
9,PPF41Q2B,2,GYM1,80
11,EEFG9UQX,2,125,92
9,HGF81QTD,2,313,65
12,MQF21C,2,208,97
11,PPF41Q2G,2,GYM2,100
11,PPF41Q3G,2,GYM2,95
9,SLF41QB,2,229,55
10,MGF41QGF,2,207,70
11,ULFC1TP,2,B39,80
10,BCF41T,2,108,83
10,PWF41Q2B,2,POOL,95
10,HUF41QT,2,124,82
9,HGF81HGD,2,311,91
10,PPF41Q2B,2,GYM3,45
10,MQF41QGF,2,106,55
9,PPF41Q2B,2,GYM1,90
9,HGF81QF,2,326,82
11,HFF41H,2,323,90
9,PPF41Q3B,2,GYM1,100
9,HGF81HGD,2,311,90
11,PPF41Q3G,2,GYM2,97
11,UAF85Q2,2,227,75
11,MRF41H,2,211,91
9,PPF41Q3G,2,GYM2,80
9,HGF81QQD,2,316,79
11,BCF41T,2,108,92
11,EEFGDUGJ,2,B6,92
11,PPF41Q3G,2,GYM2,96
11,UAF41Q2,2,227,80
9,HGF81QGD,2,311,81
11,FFFC5,2,111,45
10,MRF41,2,225,83
10,PWF41Q3B,2,POOL,90
10,UAF85Q2,2,227,82
10,AUFC1TA,2,204,98
11,SPF41,2,238,85
9,FMFC1,2,116,65
12,EEFGDUGJ,2,B6,45
9,HGF81QGD,2,311,65
10,MRF41H,2,211,94
9,HGF81QGD,2,313,85
9,EEFG1HB,2,330,92
12,MQF21C,2,208,78
11,HFF41X,2,324,88
12,EEF21U,2,347,90
11,MRF41H,2,211,91
9,PHF41Q2,2,B17,78
9,PPF41Q3B,2,GYM3,90
10,FFFC5H,2,111,98
10,AUFC1TA,2,204,74
9,PPF41Q2B,2,GYM3,90
10,MQF21C,2,208,70
11,SWF41QT,2,231,83
9,PPF41Q3B,2,GYM1,45
9,PWF41Q2B,2,POOL,85
9,UAF85Q3,2,227,72
11,EEF21U,2,349,90
11,MRF41,2,211,80
9,PPF41Q2G,2,GYM2,79
9,PPF41Q2G,2,GYM2,45
9,PPF41Q3G,2,GYM2,45
11,MQF41QGF,2,106,80
9,SLF41QB,2,229,55
11,MQF41QGF,2,106,75
11,FSFC5,2,113,45
9,MGF41QWF,2,107,65
11,UAF41H2,2,227,95
11,UAF41Q3,2,227,86
12,SHFC7TM,2,248,75
9,EEFG1QTB,2,250,68
9,PPF41Q3G,2,GYM2,70
9,PPF41Q2B,2,GYM3,90
10,FFFC5,2,111,78
9,PHF41Q3,2,B17,81
9,PPF41Q2B,2,GYM3,90
12,MQF21C,2,208,45
9,SLF41QB,2,229,55
12,EEF21U,2,347,85
10,EEFG5,2,146,88
12,EEFGDUQF,2,336,85
12,MPF21U,2,205,88
9,PPF41Q2B,2,GYM3,90
11,EEF21C,2,350,65
10,SCF41,2,138,73
11,MQF41QTF,2,106,70
9,PPF41Q3B,2,GYM1,65
10,HUF41UQX,2,325,93
10,MRF41,2,225,77
9,HGF81HGD,2,311,96
9,PPF41Q2G,2,GYM2,72
10,BCF41T,2,108,95
10,PPF41Q3B,2,GYM1,90
11,MPF41UQJ,2,214,82
11,FSFC5,2,113,76
12,HBF21U,2,314,100
9,MEF41,2,203,74
10,FSFC9,2,123,65
12,EEF21U,2,347,75
12,EEF21U,2,347,90
9,HGF81QTD,2,311,80
9,HQF41HHB,2,333,90
10,HUF41HG,2,124,94
9,MEF41,2,203,88
10,MGF41QTF,2,207,77
9,MEF41,2,203,87
9,FJFC5,2,126,65
11,EEFGDQG,2,246,80
12,MPF21U,2,205,94
12,EEF21U,2,349,90
9,PPF41Q3B,2,GYM3,45
11,FFFC5,2,111,70
11,EEFGDQG,2,246,66
9,EEFG1QB,2,330,85
9,SLF41QB,2,229,65
9,PPF41Q2G,2,GYM2,100
12,MQF41QGF,2,106,85
9,MQF41QTF,2,106,65
10,HUF41QG,2,124,80
12,SHFC7TM,2,248,80
9,SLF41QB,2,229,71
9,SLF41,2,332,65
9,MEF41,2,219,70
10,FJFC5,2,126,82
9,PPF41Q2G,2,GYM2,55
9,FMFC1H,2,116,92
9,PPF41Q3G,2,GYM2,55
11,FJFC5H,2,126,94
9,PHF41Q2,2,B17,78
9,PPF41Q3B,2,GYM3,90
10,HUF41UQX,2,325,93
12,FSFC9,2,123,78
9,HGF81QQD,2,316,78
9,HGF81QGD,2,313,55
11,UEFG9H,2,B27,100
9,EEFG1QB,2,330,87
12,EEFGDUQJ,2,348,75
9,PPF41Q2G,2,GYM2,70
9,UAF41Q3,2,227,87
10,HUF41,2,338,87
9,SLF41,2,332,55
12,SPF41H,2,238,100
11,BCF41T,2,108,87
11,PPF41Q3G,2,GYM2,45
10,MGF41QGF,2,207,83
12,HQF41QQY,2,317,99
10,PPF41Q2B,2,GYM3,90
10,PPF41Q3B,2,GYM1,80
9,HQF41QHB,2,333,75
12,AUFC5UAT,2,232,98
10,ULFC1TP,2,B39,71
11,EEF21U,2,349,45
9,SLF41QWB,2,328B,55
9,SLF41H,2,332,96
11,HFF41X,2,324,83
10,BCF41T,2,108,90
10,PPF41Q2B,2,GYM1,95
9,SRF21U,2,346,55
9,PPF41Q2B,2,GYM1,80
12,FSFC9,2,123,80
11,SEF41,2,B30,85
9,FJFC5,2,126,72
12,SCF41,2,138,65
11,MQF41QGF,2,106,77
9,UAF41Q3,2,227,65
9,PPF41Q3B,2,GYM1,80
9,UAF41Q2,2,227,55
12,UAF85Q3,2,227,83
10,HUF41H,2,338,92
9,HGF81QQD,2,316,85
9,SLF41QWB,2,328B,80
12,HBF21U,2,314,82
10,HBF21U,2,314,65
10,EEFG5QG,2,249,85
11,PPF41Q3G,2,GYM2,65
11,EEF21C,2,350,45
9,PHF41H2,2,B17,90
9,PPF41Q3B,2,GYM3,90
11,SWF41HG,2,231,92
11,EEFG9,2,334B,80
11,EEFG9,2,334B,75
9,HGF81QF,2,326,77
10,EEFGDUQJ,2,348,70
10,SCF41H,2,141,91
12,SHFC7TM,2,248,95
10,HUF41UQX,2,325,74
9,FSFC5H,2,113,91
11,FLFC9,2,121,78
9,PPF41Q3B,2,GYM3,90
9,PPF41Q2B,2,GYM3,90
12,MQF21C,2,208,75
9,UAF41Q3,2,227,55
11,HQF41QHB,2,333,75
9,PPF41Q3B,2,GYM1,90
12,UAF41H2,2,227,90
12,UAF41Q3,2,227,85
9,EEFG9,2,334B,55
9,EEFG1QTB,2,250,74
9,EEFG1QTB,2,250,77
10,ULFC1TP,2,B39,83
10,PPF41Q2G,2,GYM2,100
10,PPF41Q3G,2,GYM2,100
10,AUFC1TA,2,204,45
9,HUF41QT,2,124,45
11,SHFC7TM,2,248,55
9,MGF41HTF,2,207,97
9,PHF41Q2,2,B17,88
9,PPF41Q3B,2,GYM1,90
9,MGF41QWF,2,107,74
10,EEFG5QT,2,249,55
10,MGF41QWF,2,107,67
10,SHFC7TM,2,248,45
12,MPF41UQJ,2,214,70
9,PPF41Q3B,2,GYM3,65
12,FQF41QQY,2,216B,100
10,MGF41QGF,2,207,79
9,MEF41,2,203,86
9,HGF81HGD,2,313,92
9,PPF41Q2G,2,GYM2,55
11,MPF41UQJ,2,214,70
9,PHF41H2,2,B17,92
9,PPF41Q3B,2,GYM3,90
12,UAF41Q2,2,227,68
12,PPF41Q2B,2,GYM3,90
10,UAF85Q2,2,227,65
10,HUF41HG,2,124,97
11,MPF41UQJ,2,214,85
12,PPF41Q2B,2,GYM3,90
10,MRF41,2,225,89
9,HGF81QQD,2,316,84
11,FLFC9H,2,121,100
9,FMFC1H,2,116,90
11,PPF41Q2G,2,GYM2,100
11,PPF41Q3G,2,GYM2,100
9,SLF41H,2,332,98
9,FMFC1H,2,116,90
9,PHF41H2,2,B17,91
9,PPF41Q3G,2,GYM2,100
12,BCF41T,2,108,92
12,UAF85Q2,2,227,72
10,HGF85QF,2,321,70
11,FLFC9H,2,121,93
11,EEFGDUQJ,2,348,87
10,FJFC5H,2,126,96
9,PPF41Q2G,2,GYM2,100
10,PWF41Q3B,2,POOL,88
10,UAF85Q2,2,227,65
10,PWF41Q3B,2,POOL,75
10,UAF85Q2,2,227,66
11,FLFC9,2,121,81
11,EEFG9UQX,2,125,88
11,MRF41,2,211,88
10,MRF41,2,225,73
12,HFF41H,2,323,91
9,MGF41QWF,2,107,75
12,PPF41Q2B,2,GYM1,90
12,PPF41Q3B,2,GYM3,90
10,EEFG5HG,2,249,96
9,MEF41H,2,219,96
12,PQF41Q2Y,2,251,100
12,PQF41Q3Y,2,251,100
12,EEFGDUTJ,2,B6,96
12,PPF41Q2B,2,GYM3,45
10,SCF41H,2,141,95
11,EEFG9UQX,2,125,96
9,PPF41Q3G,2,GYM2,100
9,EEFG1QB,2,330,85
12,UEFGD,2,B27,89
11,MRF41,2,211,82
11,AUFC5UAT,2,232,96
11,EEFGDUQJ,2,348,83
11,SPF41,2,238,85
12,EEF21U,2,349,95
10,HUF41UQX,2,325,89
9,MGF41QWF,2,107,65
9,EEFG1HGB,2,250,96
11,FLFC9,2,121,74
10,MQF41QGF,2,106,75
12,PPF41Q2B,2,GYM3,65
10,HUF41,2,338,71
9,MEF41,2,203,84
10,PPF41Q2B,2,GYM1,95
10,UAF41Q3,2,227,81
11,FMFC5,2,115,88
11,EEFGDUQJ,2,348,90
9,HQF41QHB,2,333,80
12,EQF41QQY,2,328A,100
11,FMFC5H,2,115,97
11,SPF41H,2,238,90
10,HGF85QF,2,321,80
11,BCF41T,2,108,85
11,PPF41Q2B,2,GYM1,80
9,HGF81QQD,2,316,82
12,SPF41H,2,238,100
10,BCF41T,2,108,97
10,SEF41,2,B30,80
9,HGF81QQD,2,316,82
9,HGF81HF,2,326,95
9,PPF41Q3G,2,GYM2,100
9,PPF41Q3G,2,GYM2,100
11,BCF41T,2,108,94
11,PWF41Q3B,2,POOL,85
9,SLF41QB,2,229,87
10,SCF41H,2,141,92
12,BCF41T,2,108,92
9,HGF81QF,2,326,83
9,SLF41,2,332,74
11,PPF41Q2B,2,GYM1,100
11,PPF41Q3B,2,GYM1,95
9,HQF41QHB,2,333,88
10,HUF41H,2,338,90
11,HFF41X,2,324,85
9,MGF41H,2,103,94
12,EEF21U,2,347,88
12,MQF21C,2,208,90
9,MEF41,2,219,88
11,FLFC9H,2,121,95
11,MPF41UQJ,2,214,90
10,HUF41UQX,2,325,94
11,MRF41H,2,225,90
12,EEF21U,2,347,80
11,EEFG9UQX,2,125,95
12,SPF41H,2,238,95
10,HFF41,2,323,74
12,AUFC5UAT,2,232,83
10,MRF41,2,225,76
9,HGF81QQD,2,316,82
9,PHF41H2,2,B17,95
9,PPF41Q3B,2,GYM3,90
9,PPF41Q3G,2,GYM2,100
9,HGF81QGD,2,313,55
12,FQF41QQY,2,216B,65
9,PPF41Q2G,2,GYM2,100
12,SHFC7TM,2,248,65
11,MPF41UQJ,2,214,96
9,MEF41,2,203,71
11,EEF21U,2,349,55
11,MPF41UQJ,2,214,80
9,HGF81QQD,2,316,85
9,MEF41H,2,219,96
9,MGF41,2,103,80
11,SEF41H,2,B30,94
9,PPF41Q2G,2,GYM2,55
12,EEF21U,2,349,90
12,UEFGDH,2,B27,98
12,EEFGDUTJ,2,B6,90
9,MEF41,2,219,76
10,FSFC9,2,123,80
11,EEFG9UQX,2,125,93
12,EEF21U,2,349,95
12,HBF21U,2,314,72
11,MRF41,2,211,81
9,HQF41HHB,2,333,92
10,EEFG5H,2,146,91
11,UEFG9,2,B27,45
12,SHFC7TM,2,248,80
9,PHF41Q3,2,B17,86
9,PPF41Q2B,2,GYM3,90
11,EEFGDUQF,2,336,55
10,HUF41UQX,2,325,85
12,BCF41T,2,108,97
12,MQF41QGF,2,106,88
10,HUF41QT,2,124,65
10,ULFC1TP,2,B39,75
9,SLF41QWB,2,328B,74
10,HUF41,2,338,75
9,SEF41,2,B30,82
9,SWF41QT,2,231,65
9,FSFC5,2,113,88
9,MEF41,2,219,76
10,PWF41Q3B,2,POOL,80
10,FJFC5,2,126,45
12,AUFC5UAT,2,232,45
12,MQF21C,2,208,65
9,PPF41Q3B,2,GYM3,90
12,FLFC9,2,121,65
12,PPF41Q2G,2,GYM2,97
9,MEF41,2,203,72
11,UEFG9,2,B27,84
11,SRF21U,2,346,75
9,EEFG1HB,2,330,96
9,EEFG1QTB,2,250,45
10,PPF41Q2B,2,GYM3,90
10,PPF41Q3B,2,GYM3,90
10,EEFG5QG,2,249,89
10,SCF41H,2,141,90
9,EEFG1QTB,2,250,79
11,EEFG9,2,334B,45
10,MGF41HGF,2,207,93
10,MGF41HWF,2,107,91
9,FMFC1,2,116,55
9,HGF81QGD,2,311,84
10,HUF41,2,338,65
