price,brand,model,year,title_status,mileage,color,vin,state
6300,toyota,cruiser,2008,clean vehicle,274117,black,  jtezu11f88k007763,new jersey
2899,ford,se,2011,clean vehicle,190552,silver,  2fmdk3gc4bbb02217,tennessee
5350,dodge,mpv,2018,clean vehicle,39590,silver,  3c4pdcgg5jt346413,georgia
25000,ford,door,2014,clean vehicle,64146,blue,  1ftfw1et4efc23745,virginia
27700,chevrolet,1500,2018,clean vehicle,6654,red,  3gcpcrec2jg473991,florida
5700,dodge,mpv,2018,clean vehicle,45561,white,  2c4rdgeg9jr237989,texas
7300,chevrolet,pk,2010,clean vehicle,149050,black,  1gcsksea1az121133,georgia
13350,gmc,door,2017,clean vehicle,23525,gray,  1gks2gkc3hr326762,california
14600,chevrolet,malibu,2018,clean vehicle,9371,silver,  1g1zd5st5jf191860,florida
5250,ford,mpv,2017,clean vehicle,63418,black,  2fmpk3j92hbc12542,texas
10400,dodge,coupe,2009,clean vehicle,107856,orange,  2b3lj54t49h509675,georgia
12920,gmc,mpv,2017,clean vehicle,39650,white,  1gks2bkc6hr136280,california
31900,chevrolet,1500,2018,clean vehicle,22909,black,  3gcukrec0jg176059,tennessee
5430,chrysler,wagon,2017,clean vehicle,138650,gray,  2c4rc1cg5hr616095,texas
20700,ford,door,2013,clean vehicle,100757,black,  1ftfw1et7dfa47790,virginia
12710,gmc,door,2017,clean vehicle,25747,white,  1gks2gkc6hr328389,california
5200,kia,forte,2018,clean vehicle,46194,blue,  3kpfk4a77je198723,north carolina
16500,buick,encore,2018,clean vehicle,20002,red,  kl4cj1sb6jb688844,tennessee
5210,ford,mpv,2017,clean vehicle,35714,white,  2fmpk3j95hbb73607,texas
38100,ford,door,2013,clean vehicle,54380,gray,  1ft8w3dt5deb68569,virginia
12520,gmc,door,2017,clean vehicle,30114,white,  1gks2gkcxhr328380,california
7300,kia,forte,2018,clean vehicle,38823,black,  3kpfl4a79je272611,north carolina
15000,chevrolet,door,2015,clean vehicle,61578,black,  2gnflhe33f6214023,ohio
6180,ford,mpv,2017,clean vehicle,46010,blue,  2fmpk3j84hbc09276,texas
20800,ford,door,2013,clean vehicle,105510,silver,  1ftfw1efxdfa01008,virginia
11900,gmc,door,2017,clean vehicle,28040,silver,  1gks2gkc2hr327918,california
21500,kia,sorento,2020,clean vehicle,11451,blue,  5xypg4a59lg616029,north carolina
12000,buick,door,2014,clean vehicle,31039,brown,  1g4ps5sk1e4188639,ohio
4190,ford,doors,2017,clean vehicle,44174,white,  1fadp5auxhl109013,texas
13000,ford,chassis,2008,clean vehicle,93698,white,  1fdwf37r28eb95687,tennessee
12710,gmc,door,2017,clean vehicle,26364,silver,  1gks2gkc6hr326335,california
18500,infiniti,q70,2016,clean vehicle,71967,gray,  jn1by1ar7gm271292,new york
29800,chevrolet,camaro,1973,clean vehicle,46226,red,  1q87t3n166389,pennsylvania
5330,ford,mpv,2017,clean vehicle,37792,no_color,  2fmpk3j9xhbb56401,texas
13000,ford,convertible,2003,clean vehicle,58817,gray,  1fahp60a63y107799,virginia
11900,gmc,door,2017,clean vehicle,27965,black,  1gks2gkc2hr328793,california
16600,mercedes-benz,vans,2016,clean vehicle,110907,white,  8btpe7dd4ge127040,new york
19200,chevrolet,1500,2018,clean vehicle,2430,white,  1gcncneh5jz302471,tennessee
7320,ford,mpv,2017,clean vehicle,32366,gold,  2fmpk4k96hbb16692,texas
