Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,NY,2020,"12        ",Female,16,Right-Handed,170,25.1,177,1,"Rail (Train/Tram/Subway)",35,.704,42,Basketball,980,960,800,800,600,550,25.1,"Same length",76.2,76.2,"Ring finger",July,Summer,No,No,Pizza/Pasta,Water,English,6.5,9,4,"Yes - broadband connection",,140,150,28,2,12,14,5,1,12,20,28,12,0,8,"A lot","Graduate degree","Rap/Hip hop",Fly,Happy,"Musician or singer","International aid"
USA,NY,2020,"12        ",Female,16,Right-Handed,163,23,162,2,"Rail (Train/Tram/Subway)",75,0.378,41,Other,1000,850,800,1000,200,650,23,"Same length",78,79,"Ring finger",August,Spring,No,No,Pizza/Pasta,Water,English,6-7,7-9,3,"Yes - broadband connection","Text messaging",20,545,4,0,4,7,2,0,3,2,12,20,0,2,"A lot","Graduate degree","Punk rock","Freeze time",Happy,Friend,Health
USA,NY,2020,"12        ",Male,18,Right-Handed,177,27,170,1,Car,10,.33,32,Skateboarding/Rollerblading,1000,1000,800,800,500,500,28,"Left foot",10,7.5,"Index finger",December,Winter,No,No,Seafood,Tea,"Computers and technology",7,5,3,"Yes - broadband connection","In person",15,20,15,20,5,6,10,10,5,1,10,20,28,5,"A lot","Graduate degree",Other,Invisibility,Happy,Relative,Other
USA,NY,2020,"12        ",Female,17,Right-Handed,160,24,152,5,"Rail (Train/Tram/Subway)",35,0.308,40,Swimming,1000,650,750,500,250,600,25,"Left foot",70,68,"Index finger",August,Summer,Yes,No,Pizza/Pasta,Coffee,English,5,8,5,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",18,36,30,5,18,12,6,14,50,40,50,50,10,20,"A lot","Graduate degree","Rap/Hip hop",Telepathy,Happy,Relative,"Education/Youth development"
USA,NY,2020,"12        ",Male,17,Left-Handed,161.3,24.13,172.7,1,"Rail (Train/Tram/Subway)",45,0.382,45,Other,850,450,556,754,957,957,22.86,"Right foot",76.2,81.28,"Ring finger",July,Summer,Yes,No,Seafood,Water,Geography,7,8.5,8,"Yes - broadband connection","Text messaging",30,25,1,0.5,16,3,1.5,1.5,14,2,50,7,0,4,"A lot","Graduate degree",Pop,Fly,Happy,Relative,"International aid"
USA,NY,2020,"12        ",Male,18,Right-Handed,182,27,178,1,Car,12min,0.278,40,Skateboarding/Rollerblading,797,807,717,717,561,561,27,"Same length",9,8,"Index finger",February,Fall,Yes,No,Meat,Tea,Art,6,12,3,"Yes - broadband connection","Internet chat or instant messaging",10,10,24,1,7,12,15,35,3,5,35,20,15,5,Some,"Graduate degree",,Fly,Happy,Relative,Environment
USA,NY,2020,"11        ",Male,17,Right-Handed,172.7,27.9,,1,Walk,12,".368 ",60,"Football (American)",1000,1000,1000,900,350,650,27.6,"Right foot",,,,December,Spring,Yes,No,Seafood,Water,History,8,10,5,"Yes - other","Cell phone",200,240,8,2,8,3,12,0,0,15,15,10,0,3,Some,"Some college","Rap/Hip hop",Telepathy,Rich,"Sports person",Health
USA,NY,2020,"11        ",Female,16,Right-Handed,155,22.2,100,3,Bus,50,1.135,49,Other,900,600,850,900,1000,950,22.2,"Same length",,,,May,Spring,No,No,"No favorite",Water,Science,7,10,6,"Yes - other","Text messaging",300,300,10,4,10,20,10,2,25,30,50,15,0,30,Some,"Graduate degree","Rhythm and blues (R&B)",Telepathy,Happy,Relative,"International aid"
USA,NY,2020,"11        ",Female,17,Right-Handed,153,22,155,1,Walk,19,.448,42,Soccer,594,615,872,824,433,647,23,"Left foot",7.2,6.7,"Index finger",October,Spring,No,No,"Rice/Noodle dishes",Coffee,English,7,9,5,"Yes - broadband connection","Text messaging",75,300,5,.2,20,5,2,.5,9,8,5,9,9,3,"A lot","Undergraduate degree",Pop,"Freeze time",Happy,Other,Health
USA,NY,2020,"12        ",Male,16,Right-Handed,183cm,25.4,185,1,Car,"10 ",0.413,36,Golf,700,800,300,300,250,400,23,"Right foot",75,70,"Index finger",November,Fall,Yes,No,Other,Tea,"Mathematics and statistics",7,9,4,"Yes - broadband connection","Internet chat or instant messaging",25,30,2,5,5,5,1,15,15,2,20,5,23,1,"A lot","Graduate degree",Other,"Freeze time",Happy,Relative,"Wildlife, animals"
USA,NY,2020,"12        ",Male,17,Right-Handed,"6'3 ","12 ",6'2,2,Bus,"7 min","1 sec",22,Basketball,1000,1000,1000,1000,500,1000,12,"Same length","7 cm","7 cm","Same length",August,Spring,Yes,No,"Rice/Noodle dishes",Water,English,8,9,1,"Yes - broadband connection","Cell phone",5,8,5,12,6,7,4,3,4,5,4,2,0,4,"A lot","Graduate degree","Rap/Hip hop","Super strength",Happy,Relative,Health
USA,NY,2020,"12        ",Female,17,Right-Handed,5'0,25cm,158cm,1,Car,15min,.427,41sec,Lacrosse,700,700,800,800,500,600,25cm,"Same length",75mm,70mm,"Index finger",July,Summer,Yes,No,Pizza/Pasta,Water,"Mathematics and statistics",7,10,3,"Yes - other","Cell phone",7,9,6,21,20,7,7,0,7,14,14,2,0,7,"A lot","Graduate degree","Rap/Hip hop",Telepathy,Happy,Relative,Health
USA,NY,2020,"12        ",Male,16,Right-Handed,174,24,150,1,"Rail (Train/Tram/Subway)",90,0.441,35,Swimming,1000,1000,1000,1000,1000,1000,24,"Same length",81,81,"Same length",October,Spring,Yes,No,Other,Water,"Social studies",6,10,3,"Yes - broadband connection","Internet chat or instant messaging",200,448,2,0,10,5,1,1,5,9,30,6,6,2,"A lot","Graduate degree",Techno/Electronic,"Freeze time",Healthy,"Community leader or elder","Arts, culture, sports"
USA,NY,2020,"12        ",Male,17,Right-Handed,175,27,176,2,"Rail (Train/Tram/Subway)",70,0.352,30,Soccer,1000,1000,1000,1000,900,900,26,"Right foot",8,8,"Same length",March,Summer,No,No,Fruit,Water,Science,7,9,5,"Yes - broadband connection","Text messaging",10,12,4,1,4,4,2,5,2,2,10,0,1,10,"A lot","Graduate degree","Rap/Hip hop","Freeze time",Happy,Relative,"International aid"
USA,NY,2020,"12        ",Male,18,Right-Handed,178,27.5,,3,Bus,20,10,44,Basketball,,,,,,,,,,,,,,,,,,,,,,"Yes - dial-up connection","Text messaging",50,40,,,,,,,,,,,,,Some,"Some college",Country,,Rich,"Business person","International aid"
USA,NY,2020,"10        ",Male,16,Right-Handed,,,,1,Bus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,NY,2020,"11        ",Female,16,Right-Handed,162.6,20,,2,Car,35-45,"1.5 ",45,Basketball,,,,,,,,,,"76.2 ","Index finger",March,Spring,Yes,No,Seafood,"Energy drink",Art,4,4,5,"Yes - broadband connection","Text messaging",2,10,0,1,14,14,7,0,7,7,21,28,0,14,"Very little","Graduate degree",Reggae,"Freeze time",Happy,"Musician or singer",Religious
USA,NY,2020,"10        ",Male,16,Right-Handed,177.8,25.4,177.8,4,Walk,15,.31,23,Dancing,499,1000,0,0,1000,800,25.4,"Same length",76.2,63.5,"Index finger",December,Spring,Yes,No,Meat,"Soft drink (caffeinated)",History,5,8,3,,"Text messaging",50,100,30,2,4,3,2,30,40,160,30,4,0,0,"A lot","High school",Reggae,"Freeze time",Rich,"Religious figure","International aid"
USA,NY,2020,"12        ",Male,17,Left-Handed,166cm,24.1,160cm,1,Car,"9 min",0.357,45,Lacrosse,900,900,700,900,0,0,24,"Right foot",70,65,"Index finger",November,Summer,Yes,No,Meat,Water,"Social studies",9,9,"3-4 ","Yes - broadband connection","Text messaging",100,100,9,<1,1,5,14,0,4,3,4,3,20,1,None,"Undergraduate degree","Rap/Hip hop",Fly,Happy,Relative,"Arts, culture, sports"
USA,NY,2020,"12        ",Female,17,Right-Handed,173,22,170,2,Car,5,0.447,43,Soccer,1000,1000,1000,1000,500,800,22,"Same length",750,800,"Ring finger",October,Fall,No,No,Pizza/Pasta,Water,Science,7,8,4,"Yes - other","Text messaging",100,800,15,2,5,5,10,2,11,8,5,2,10,2,Some,"Graduate degree","Rap/Hip hop",Fly,Happy,Relative,"International aid"
USA,NY,2020,"12        ",Female,17,Right-Handed,193,23.8,160,2,Car,10,0.606,47,Running/Jogging,900,500,800,900,500,600,23.8,"Same length",85,,"Same length",June,Summer,Yes,No,Pizza/Pasta,Water,Art,8,11,3,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",30,20,3,12,16,9,4,0,12,3,6,18,6,4,Some,"Undergraduate degree","Rap/Hip hop",Telepathy,Happy,Actor,"International aid"
USA,NY,2020,"12        ",Male,17,Right-Handed,82,26.5,181,1,"Rail (Train/Tram/Subway)",50,0.373,31,Soccer,845,449,663,754,134,786,27,"Left foot",75,80,"Ring finger",December,Fall,No,No,Fruit,Water,History,6.5,9,4,"Yes - broadband connection","In person",200,150,10,4,22,11,6,4,10,4,5,1,0,1,Some,"Graduate degree","Rap/Hip hop",Telepathy,Happy,Relative,"International aid"
USA,NY,2020,"12        ",Male,17,Right-Handed,160,26.5,159,4,"Rail (Train/Tram/Subway)",30,0.41,46,Dancing,872,506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,NY,2020,"12        ",Female,18,Right-Handed,180,14,168,2,Car,7,.427,37,Walking/Hiking,647,947,947,775,872,877,15,"Left foot",72,67,"Index finger",March,Fall,No,No,Fruit,Water,"Mathematics and statistics",6,7,3,"Yes - broadband connection","Text messaging",55,75,6,2,10,15,7,0,4,4,2,8,40,21,"A lot","Graduate degree",Country,"Freeze time",Happy,Relative,"Wildlife, animals"
USA,NY,2020,"10        ",Male,17,Right-Handed,176,24,184,1,Car,10,0.261,36,Basketball,750,750,600,800,100,450,23,"Right foot",3.2'',3.3'',"Ring finger",September,Summer,Yes,No,Meat,Water,"Physical education",6,8-9,4,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",8,15,6,1,4,10,20,30,12,6,25,3,0,8,Some,"Graduate degree","Rap/Hip hop","Freeze time",Happy,"Sports person",Health
