month,day,temp,hum,wind,area
aug,sun,25.7,39,5.4,0.09
aug,tue,19.4,55,4,0.17
aug,wed,22.1,37,3.6,0.21
aug,wed,24,36,3.1,0.24
sep,fri,19.1,46,2.2,0.33
jul,tue,18,42,2.7,0.36
sep,sun,17.1,53,5.4,0.41
aug,fri,18.2,62,5.4,0.43
sep,tue,21.7,38,2.2,0.43
sep,mon,21.9,39,1.8,0.47
aug,tue,21.8,56,3.1,0.52
sep,fri,15.2,64,3.1,0.52
aug,mon,26.8,35,1.3,0.54
aug,wed,23.3,31,4.5,0.55
aug,fri,21.2,51,8.9,0.61
aug,wed,26.8,25,3.1,0.68
aug,sat,21.4,44,2.7,0.68
jul,sat,16.6,53,5.4,0.71
sep,sat,22.3,48,4,0.72
aug,wed,20.7,70,2.2,0.75
aug,sun,26.8,38,6.3,0.76
aug,wed,23.8,32,5.4,0.77
aug,tue,22.1,54,7.6,0.79
aug,thu,27.4,22,4,0.9
jun,sun,14.3,46,1.8,0.9
mar,mon,13.2,40,5.4,0.95
sep,tue,24.2,28,3.6,0.96
sep,thu,16.8,28,4,1.01
aug,tue,17.4,43,6.7,1.07
sep,fri,18.4,42,2.2,1.09
feb,wed,8.8,35,3.1,1.1
sep,thu,23.7,25,4.5,1.12
jun,fri,23.2,39,5.4,1.19
aug,mon,25.5,29,1.8,1.23
sep,fri,20.8,35,4.9,1.26
aug,sun,23.4,40,5.8,1.29
jul,sun,24.8,29,2.2,1.36
aug,sat,23.7,40,1.8,1.38
jul,sat,24.6,43,1.8,1.43
sep,fri,20.1,47,4.9,1.46
sep,sat,29.6,27,2.7,1.46
sep,mon,20.4,41,1.8,1.47
aug,thu,21.4,38,2.7,1.52
aug,sun,16.4,47,1.3,1.56
aug,fri,19.3,39,3.6,1.56
sep,wed,19.7,41,1.8,1.58
sep,sat,28.6,27,2.2,1.61
aug,wed,18.4,45,3.6,1.63
jul,mon,22.8,27,4.5,1.63
aug,wed,20.5,35,4,1.64
sep,fri,12.8,64,3.6,1.64
sep,fri,19,34,5.8,1.69
sep,fri,19.8,47,2.7,1.72
mar,mon,16.1,29,3.1,1.75
sep,tue,15.9,38,5.4,1.75
jul,thu,27.2,28,1.3,1.76
aug,thu,20.3,41,4,1.9
aug,sat,15.5,72,8,1.94
jun,mon,14.3,79,4,1.94
mar,sat,15.2,31,8.5,1.94
aug,wed,29.2,30,4.9,1.95
sep,sat,17.8,56,1.8,1.95
aug,tue,24.1,43,6.3,2
sep,sun,17.8,67,2.2,2.01
sep,fri,20.6,43,3.6,2.03
aug,mon,30.6,28,3.6,2.07
sep,mon,18.1,54,3.1,2.13
feb,tue,5.1,77,5.4,2.14
mar,thu,5.3,70,4.5,2.14
aug,fri,21.1,71,7.6,2.17
sep,thu,12.9,39,2.7,2.18
sep,mon,15.9,51,4.5,2.18
jul,sun,18.2,82,4.5,2.21
aug,wed,16.6,47,0.9,2.29
aug,mon,27.9,33,2.2,2.35
aug,sun,24.9,42,5.4,2.44
aug,wed,21.7,40,0.4,2.47
aug,wed,23.4,33,4.5,2.51
mar,fri,14.6,26,9.4,2.53
aug,thu,20.7,45,2.2,2.55
sep,wed,21.9,35,1.8,2.57
jul,fri,22.9,40,1.3,2.64
aug,wed,17.4,50,4,2.69
aug,sun,20.1,39,5.4,2.74
jul,thu,30.2,25,4.5,2.75
aug,mon,32.6,26,3.1,2.77
aug,sun,22.4,54,7.6,2.87
sep,tue,15.9,53,2.2,2.93
aug,sun,24.8,36,4,3.05
sep,mon,17.7,39,2.2,3.07
aug,tue,20.2,47,4,3.09
mar,mon,10.2,45,5.8,3.18
jun,thu,22.7,40,9.4,3.19
aug,sun,24.6,44,4,3.2
aug,fri,11.2,84,7.6,3.3
aug,sat,18.9,64,4.9,3.32
sep,sat,23.5,27,4,3.33
apr,mon,10.9,64,3.1,3.35
aug,sat,14.2,53,1.8,3.5
jun,mon,19.1,39,5.4,3.52
aug,sun,24.3,33,3.6,3.63
sep,sun,20.4,55,4.9,3.64
sep,fri,10.1,75,3.6,3.71
sep,sun,14.5,76,7.6,3.71
sep,thu,19.2,24,4.9,3.78
sep,mon,19.3,44,2.2,3.93
sep,fri,17.3,45,4,3.94
sep,sat,17,67,4.9,3.95
aug,fri,21.4,42,3.1,4.25
aug,tue,19.1,53,2.7,4.4
sep,thu,21.6,28,6.3,4.41
sep,thu,13.7,56,1.8,4.42
aug,sat,20.3,39,4.9,4.53
apr,thu,5.8,54,5.8,4.61
feb,fri,8.2,53,9.4,4.62
aug,sun,19.2,44,2.7,4.69
sep,wed,18.3,45,2.2,4.88
sep,thu,22.8,46,4,4.95
aug,sat,26.9,31,3.6,4.96
