Grade,Course,Section,Period,Room,Mark1
12,AQF44UVT,2,9,206,
12,EEF88QG,2,2,348,79
12,EEFGGQGF,1,3,249,74
12,FMFCCU,3,7,116,
12,FXTCE,2,12,104,
12,GQF11QLP,15,15,****,25
12,HRF44XA,2,5,225,
12,MRF44,21,8,203,
12,MXRNE,6,12,141,
12,PPF44Q2B,18,10,GYM3,70
12,PPF44Q3B,19,10,GYM3,85
12,PTF21QQS,1,12,251,P
12,PTF22QQS,1,13,251,P
12,SPF44,3,4,229,65
12,SPF44QL,3,4,229,P
12,SXRPE,2,12,121,
12,ZLUN,6,6,CAFÉ,
12,ZQAPHR,1,13,,
12,ZQCTEERT,1,14,,
12,ZQJUNE19,1,14,,
12,ZQPROBC,1,14,150,
11,EEFGGUGF,3,8,330,94
11,EEFGGUQV,5,9,335,85
11,FKFCCU,1,6,114,78
11,FXTKE,2,12,124,
11,GQF11QLP,15,15,****,27
11,MKFC8UCT,2,5,106,81
11,MRF44HG,13,10,205,93
11,MXRNE,6,12,141,
11,PGF44Q2C,3,4,GYM1,95
11,PTF21QQS,1,12,251,P
11,PTF22QQS,1,13,251,P
11,SPF44,2,3,229,88
11,SPF44QL,2,3,229,P
11,SXRPE,2,12,121,
11,UAF88H3,3,4,235,100
11,ZLUN,7,7,CAFÉ,
11,ZQCTECWD,1,14,,
11,ZQIGS,1,14,150,
11,ZQJUNE19,1,14,,
12,BCF44T,22,3,204,100
12,EEFGGUQV,4,8,335,83
12,FJFCCU,2,4,124,88
12,FXTJE,2,12,121,
12,GGF11Q18,64,6,147,
12,GMF11Q9,9,9,,
12,MKFC8UCT,2,5,106,81
12,MPF44UQJ,3,7,203,85
12,PPF44Q3B,5,3,GYM3,90
12,ZLUNGG,64,6,CAFÉ,
12,ZQAPMK,1,13,,
12,ZQCTECWD,1,14,,
12,ZQIGS,1,14,150,
12,ZQJUNE18,1,14,,
10,EEF88,7,10,331,75
10,EXRCE,2,12,104,
10,FSFC8,8,7,149,85
10,GQF11QLC,15,15,****,29
10,HGFCCHQ3,1,4,326,90
10,HUF44QG,2,3,316,75
10,HXRTE,2,12,104,
10,HXRUE,2,12,104,
10,MRF44,1,2,104,84
10,MXRNE,6,12,141,
10,PPF44Q2G,6,4,GYM2,88
10,PPF44Q3G,13,9,GYM2,90
10,SCF84QGF,3,6,229,65
10,SCF84QLG,3,6,229,P
10,SLF88HQ2,3,9,146,92
10,SXRXE,3,12,105,
10,ULFC4TP,3,5,B39,86
10,ZLUN,8,8,CAFÉ,
10,ZQCTEMPP,1,14,,
10,ZQIGS,1,14,150,
10,ZQJUNE20,1,14,,
9,EEFG4H,8,3,349,91
9,FSFC8,1,2,113,86
9,GQF11QLC,15,15,****,31
9,HGF87QQD,8,4,341,80
9,HGF88QQD,8,5,341,80
9,HXRTE,2,12,104,
9,MRF44,13,6,203,89
9,MXRNE,6,12,141,
9,PPF44Q3G,14,10,GYM2,86
9,SCF44,12,9,138,81
9,SCF44QL,12,9,138,P
9,SHF82H,3,7,231,94
9,SXRXE,3,12,105,
9,UAF44H2,8,10,235,92
9,ZLUN,8,8,CAFÉ,
9,ZQCTESMM,1,14,,
9,ZQIGS,1,14,150,
9,ZQJUNE21,1,14,,
11,EEF22C,1,2,350,66
11,EEFCBQGD,1,4,350,66
11,EEFCCQGD,1,5,350,66
11,EXRCE,2,12,104,
11,GAF11QD,61,6,134,
11,GQF11QU3,7,7,LIB,
11,HUF88QQ2,1,8,313,88
11,HXRUE,2,12,104,
11,MKFC4TC,5,9,108,
11,MRF44QG,13,10,205,65
11,MXRNE,6,12,141,
11,PGF44Q3C,7,8,GYM1,65
11,PPF44Q3B,5,3,GYM3,90
11,SEF88QQ2,1,3,341,65
11,SXRUE,2,12,229,
11,UAF88Q2,5,7,227,65
11,ZLUNGA,61,6,CAFÉ,
11,ZQCTECWD,1,14,,
11,ZQJUNE18,1,14,,
11,ZQPROBC,1,14,150,
11,EEF22C,1,2,350,97
11,EEF88QG,5,4,346,70
11,EEFGGUQJ,2,8,B6,84
11,EXRCE,2,12,104,
11,FSFCCU,2,3,123,98
11,FXTSE,3,12,205,
11,HUF44,4,10,314,68
11,HXRUE,2,12,104,
11,MRF44,25,9,107,80
11,MXRNE,6,12,141,
11,PGF44Q3C,5,6,GYM1,100
11,PPF44Q2G,7,5,GYM2,97
11,PPF44Q3G,7,5,GYM2,98
11,SEF88QQ2,2,6,341,82
11,SXRUE,2,12,229,
11,ZLUN,7,7,CAFÉ,
11,ZQCTESMM,1,14,,
11,ZQIGS,1,14,150,
11,ZQJUNE19,1,14,,
11,EEFGGUGF,2,6,330,65
11,EEFGGUQJ,2,8,B6,68
11,GQF11QLC,15,15,****,30
11,HUF44,1,4,321,75
11,HXRUE,2,12,104,
11,MGF88QQ3,2,7,249,65
11,MRF44QG,13,10,205,76
11,MXRKE,2,12,205,
11,MXRNE,6,12,141,
11,PGF44Q2C,6,7,GYM1,95
11,PPF44Q2G,4,3,GYM2,70
11,SCF82QGF,6,9,139,P
11,SCF83QGF,6,9,139,P
11,SCF84QGF,6,9,139,69
11,SCF84QLG,6,9,139,P
11,SEF88HQ3,1,3,341,93
11,SXRUE,2,12,229,
11,SXRXE,3,12,105,
11,ZLUN,5,5,CAFÉ,
11,ZQCTECWD,1,14,,
11,ZQIGS,1,14,150,
11,ZQJUNE19,1,14,,
9,EEF88H,8,10,146,90
9,EXRCE,2,12,104,
9,FSFC8,4,3,113,65
9,GQF11QLC,15,15,****,25
9,HFF44QQB,2,5,315,79
9,HUF44QQB,2,6,315,86
9,HXRUE,2,12,104,
9,MEF88QG,2,7,207,86
9,MXRCE,2,12,103,
9,PPF44Q2G,5,4,GYM2,65
9,PPF44Q3G,2,2,GYM2,
9,SCF84QGF,7,9,115,70
9,SCF84QLG,7,9,115,P
9,SLF88QQ2,1,2,247,65
9,SXRKE,2,12,103,
9,SXRXE,3,12,105,
9,UAF44Q3,3,4,235,65
9,ZLUN,8,8,CAFÉ,
9,ZQCTESMM,1,14,,
9,ZQJUNE20,1,14,,
9,ZQPROBC,1,14,150,
9,EEFG4,5,5,126,80
9,FKFC1,6,10,114,P
9,FKFC2,6,10,114,P
9,FKFC3,6,10,114,P
9,FKFC4,6,10,114,70
9,GQF11QLC,15,15,****,25
9,HGF87QQD,5,8,314,88
9,HGF88QQD,5,9,314,88
9,HXRTE,2,12,104,
9,MKF44,3,6,108,80
9,MRF44,1,2,104,70
9,MXRNE,6,12,141,
9,PHF44Q2,6,7,B17,83
9,PPF44Q3B,11,7,GYM3,88
9,SCF44QG,2,3,139,75
9,SCF44QLG,2,3,139,P
9,SXRXE,3,12,105,
9,ZLUN,4,4,CAFÉ,
9,ZQCTECWD,1,14,,
9,ZQIGS,1,14,150,
9,ZQJUNE21,1,14,,
11,BFF22U,1,11,322,94
11,EEF44UCC,1,6,347,78
11,EEFGGUQV,5,9,335,90
11,FSFCCU,7,8,123,96
11,FXTSE,3,12,205,
11,GQF11QLP,15,15,****,25
11,MKFC8UCT,1,3,322,92
11,MRF44H,11,5,223,90
11,MXRNE,6,12,141,
11,PGF44Q2C,3,4,GYM1,95
11,SPF44,8,10,229,72
11,SPF44QL,8,10,229,P
11,SXRPE,2,12,121,
11,UAF88H3,3,4,235,100
11,ZLUN,7,7,CAFÉ,
11,ZQAPMK,1,13,,
11,ZQCTECWD,1,14,,
11,ZQIGS,1,14,150,
11,ZQJAN19,1,14,,
9,EEF88QW,3,8,250,72
9,EXRCE,81,12,226,
9,FSFC8,6,5,113,70
9,HGFCCQQ2,3,9,121,85
9,HUF43QWD,1,3,326,75
9,HUF44QWD,1,2,326,75
9,HXRTE,81,12,223,
9,HXRUE,80,12,226,
9,MEF88QW,1,4,207,87
9,MXRCE,80,12,123,
9,PPF43Q2G,14,10,GYM2,P
9,PPF44Q2G,14,10,GYM2,73
9,PPF44Q3G,14,10,GYM2,65
9,SLF88QQ3,3,9,146,88
9,SXRKE,80,12,122,
9,UEFG4,2,6,227,66
9,ZLUN,7,7,CAFÉ,
9,ZQCTEMPP,1,14,,
9,ZQISS20X,1,13,****,
9,ZQISSQRA,1,13,****,
9,ZQJUNE20,1,14,,
9,ZQPROBT,1,14,150,
12,BCF44T,31,2,204,87
12,EEFGGUQX,2,5,347,78
12,FSFCCH,4,4,125,90
12,FXTSE,2,12,203,
12,GGF11Q18,75,7,147,
12,GLFGGH,1,1,334B,94
12,GMF11Q8,8,8,,
12,MKFCCTC,1,3,106,100
12,MPF44UQS,3,6,104,90
12,PGF44Q2C,1,2,GYM1,100
12,ZLUNGG,75,7,CAFÉ,
12,ZQAPEELT,1,13,,
12,ZQCTECWD,1,14,,
12,ZQIGS,1,14,150,
12,ZQJUNE18,1,14,,
12,EEFGGUGF,1,4,330,92
12,EEFGGUGJ,3,9,B6,95
12,MPF44UQJ,1,3,219,82
12,PGF44Q2C,9,10,GYM1,92
12,PGF44Q3C,9,10,GYM1,93
12,SDF84UVT,2,7,332,100
12,SPF87UQD,1,5,332,95
12,SPF88UQD,1,6,332,95
12,ZLUN,8,8,CAFÉ,
12,ZQAPSP,1,13,,
12,ZQCTEERT,1,14,,
12,ZQIGS,1,14,150,
12,ZQJUNE19,1,14,,
9,EEFGGUQF,1,3,330,76
9,EEFGGUQV,4,8,335,65
9,GAF11QA,62,6,134,
9,GGF11Q18,63,6,147,
9,GQF11QLC,15,15,****,18
9,HGFCCQQ2,2,7,315,82
9,HUF44,1,4,321,70
9,HXRTE,2,12,104,
9,HXRUE,2,12,104,
9,MGF88QQ3,2,7,249,73
9,MRF44,23,9,208,65
9,MXRKE,2,12,205,
9,MXRNE,6,12,141,
9,PGF44Q2C,1,2,GYM1,75
9,SCF44,13,10,138,
9,SCF44QL,13,10,138,F
9,SDF44QGE,1,5,247,83
9,SLF88QQ3,1,2,247,88
9,SXRKE,2,12,103,
9,SXRXE,3,12,105,
9,ZLUNGTW,6,6,CAFÉ,
9,ZQAUG18,1,14,,
9,ZQCTEHHR,1,14,,
9,ZQPROBC,1,14,150,
12,FLF44UQX,2,8,121,80
12,FXTLE,2,12,126,
12,GGF11Q18,63,6,147,
12,GMF11Q9,9,9,,
12,GQF11QU3,4,4,LIB,
12,HBF44X,2,7,316,87
12,HRF44XA,2,5,225,87
12,MKF44QQY,3,3,319,100
12,PPF44Q2G,6,4,GYM2,87
12,ZLUNGG,63,6,CAFÉ,
12,ZQAPFL,1,13,,
12,ZQAPHB,1,13,,
12,ZQAPHR,1,13,,
12,ZQCTEHHR,1,14,,
12,ZQIGS,1,14,150,
12,ZQJUNE18,1,14,,
12,BCF44T,32,3,204,100
12,EEF44U,2,2,347,80
12,GGF11Q18,53,5,149,
12,GMF11Q7,7,7,,
12,MKFCCTC,2,6,106,93
12,PQF44Q2Y,4,4,251,100
12,PQF44Q3Y,4,4,251,100
12,PWF44Q2B,1,3,POOL,93
12,ZLUNGG,53,5,CAFÉ,
12,ZQCTECWD,1,14,,
12,ZQIGS,1,14,150,
12,ZQJUNE18,1,14,,
9,EEFG4H,3,2,126,90
9,FKFC4H,4,6,115,100
9,GQF11QLL,15,15,****,25
9,HGF87QQD,3,3,213,83
9,HGF88QQD,3,4,213,83
9,HXRTE,2,12,104,
9,MRF44QG,14,10,107,89
9,MXRNE,6,12,141,
9,PGF44Q2C,7,8,GYM1,95
9,SHFC2TM,2,5,248,100
9,SLF44HG,6,9,238,92
9,SLF44QLG,6,9,238,P
9,SXRKE,2,12,103,
9,UAF44H3,5,7,227,95
9,ZLUNCH2,7,7,CAFÉ,
9,ZLUNCH3,8,8,CAFÉ,
9,ZQCTESMM,1,14,,
9,ZQIGS,1,14,150,
9,ZQJUNE21,1,14,,
11,AUFC8UAT,2,5,204,82
11,EEF88QG,1,2,146,77
11,EEFGGUQJ,2,8,B6,87
11,EXRCE,70,12,219,
11,FFFCC,1,3,248,89
11,FXTFE,70,12,115,
11,GQF11QLC,15,15,****,30
11,HGFCCHQ3,3,9,121,95
11,HXRTE,70,12,214,
11,MRF44,26,10,208,87
11,MXRNE,71,12,114,
11,PGF44Q2C,5,6,GYM1,100
11,SCF84HGF,4,7,139,91
11,SCF84QLG,4,7,139,P
11,SEF88QQ3,2,6,341,85
11,SLF88QQ2,3,9,146,85
11,SXRKE,70,12,113,
11,SXRUE,70,12,223,
11,SXRXE,70,12,213,
11,ZLUN,4,4,CAFÉ,
11,ZQCTEDA,1,14,,
11,ZQIGS,1,14,150,
11,ZQISS,1,13,****,
11,ZQISS15X,1,13,****,
11,ZQJUNE19,1,14,,
11,ZQSNT174,1,13,****,ND
11,EEFCBQQD,1,9,346,65
11,EEFCCQQD,1,10,346,65
11,EEFGEUGJ,2,5,B6,P
11,EEFGFUGJ,2,5,B6,P
11,EEFGGUGJ,2,5,B6,65
11,EXRCE,70,12,219,
11,FFFCA,2,6,111,P
11,FFFCB,2,6,111,P
11,FFFCC,2,6,111,67
11,FXTFE,70,12,115,
11,GAF11QD,41,4,134,
11,HGFCCQQ2,2,7,315,65
11,HUF87QQ3,1,8,313,P
11,HUF88QQ3,1,8,313,85
11,HXRUE,70,12,221,
11,MGF87QQ3,2,7,249,P
11,MGF88QQ3,2,7,249,65
11,MRF44,1,2,104,
11,MXRKE,70,12,211,
11,MXRNE,71,12,114,
11,PPF44Q3B,5,3,GYM3,90
11,PWF44Q2B,1,3,POOL,65
11,SEF88QQ2,3,8,341,75
11,SXRUE,70,12,223,
11,ZLUNGA,41,4,CAFÉ,
11,ZQCTESMM,1,14,,
11,ZQISS,1,13,****,
11,ZQISS15X,1,13,****,
11,ZQJUNE19,1,14,,
11,ZQPROBC,1,14,150,
11,ZQSNT174,1,13,****,ND
9,EEFG4QG,6,3,246,80
9,FKFC4,5,7,114,79
9,GQF11QLL,15,15,****,29
9,HGF87QGD,6,5,311,80
9,HGF88QGD,6,6,311,80
9,HXRTE,70,12,214,
9,MEF44QT,8,9,104,83
9,MKF44,6,10,106,73
9,MXRCE,71,12,114,
9,PHF44Q2,7,8,B17,85
9,PPF44Q3B,14,8,GYM3,85
9,SLF44,1,2,338,75
9,SLF44QL,1,2,338,P
