Grade,Course,Section,Period,Room,Mark1
12,GLFGGH,1,1,334B,94
12,GLFGGH,1,1,334B,96
9,MQFGGHQT,1,1,214,95
10,GLFG8H,1,1,334B,96
10,GLFG8H,1,1,334B,93
11,GLFGC,1,1,334B,72
10,GLFG8H,1,1,334B,97
10,GLFG8H,1,1,334B,94
10,MQFG8HQT,1,1,214,90
11,MQFGCHQT,1,1,214,90
10,MQFG8HQT,1,1,214,99
10,MQFG8QQT,1,1,214,65
11,GLFGCH,1,1,334B,94
9,MQFG8HQT,1,1,214,99
12,GLFGCH,1,1,334B,96
12,MQFGCHQT,1,1,214,90
11,GLFGCH,1,1,334B,95
10,MQFG8HQT,1,1,214,99
10,MQFG8HQT,1,1,214,99
11,MQFGCHQT,1,1,214,99
11,GLFGCH,1,1,334B,95
12,MQFGCHQT,1,1,214,99
12,MQFGCHQT,1,1,214,95
12,MQFGCHQT,1,1,214,99
12,GLFGCH,1,1,334B,94
12,GLFGCH,1,1,334B,95
10,MQFG8HQT,1,1,214,99
9,MQFGCHQT,1,1,214,95
10,MQFG8QQT,1,1,214,65
10,GLFG8H,1,1,334B,99
12,MQFGGHQT,1,1,214,95
12,MQFGCHQT,1,1,214,99
9,MQFG4HQT,1,1,214,90
12,MQFGCQQT,1,1,214,65
11,GLFGCH,1,1,334B,94
10,MQFG8HQT,1,1,214,90
10,MQFG8HQT,1,1,214,99
12,GLFGCH,1,1,334B,99
12,GLFGG,1,1,334B,82
10,MQFG8HQT,1,1,214,99
12,GLFGG,1,1,334B,89
12,GLFGG,1,1,334B,87
11,MQFGCHQT,1,1,214,95
12,GLFGGH,1,1,334B,96
12,GLFGG,1,1,334B,82
10,GLFG8H,1,1,334B,98
12,GLFGG,1,1,334B,86
10,GLFG8H,1,1,334B,96
12,GLFGC,1,1,334B,89
10,MQFG8HQT,1,1,214,95
9,MQFG4HQT,1,1,214,95
12,GLFGGH,1,1,334B,92
10,MQFGCHQT,1,1,214,90
12,GLFGG,1,1,334B,80
12,GLFGG,1,1,334B,80
11,MQFGCHQT,1,1,214,99
12,MQFGCHQT,1,1,214,90
11,MQFGCHQT,1,1,214,90
12,GLFGGH,1,1,334B,93
10,GLFG8,1,1,334B,87
11,MQFGCHQT,1,1,214,99
10,MQFG8HQT,1,1,214,99
12,MQFGCHQT,1,1,214,99
11,MQFG8HQT,1,1,214,90
10,MQFG8HQT,1,1,214,99
11,GLFGC,1,1,334B,89
10,GLFG8H,1,1,334B,94
11,GLFGCH,1,1,334B,97
12,GLFGGH,1,1,334B,94
11,MQFGCHQT,1,1,214,95
12,EEF88QG,2,2,348,79
10,MRF44,1,2,104,84
9,FSFC8,1,2,113,86
11,EEF22C,1,2,350,66
11,EEF22C,1,2,350,97
9,SLF88QQ2,1,2,247,65
9,MRF44,1,2,104,70
9,HUF44QWD,1,2,326,75
12,BCF44T,31,2,204,87
12,PGF44Q2C,1,2,GYM1,100
9,PGF44Q2C,1,2,GYM1,75
9,SLF88QQ3,1,2,247,88
12,EEF44U,2,2,347,80
9,EEFG4H,3,2,126,90
11,EEF88QG,1,2,146,77
9,SLF44,1,2,338,75
11,FJFCCU,1,2,124,100
12,EEFGGQQC,1,2,250,84
9,MKF44,1,2,322,88
9,HGF87QTD,1,2,334A,81
12,FMF44UQX,1,2,116,88
9,PPF44Q2B,1,2,GYM3,65
9,PPF44Q3B,1,2,GYM3,65
9,HGF87HTD,5,2,314,92
9,EEFG4HH,2,2,346,93
9,EEFG4H,3,2,126,92
9,EEFG4QH,2,2,346,89
10,SPF44,1,2,229,83
12,EEFGGHQC,1,2,250,95
11,PPF44Q2G,2,2,GYM2,97
11,PPF44Q3G,2,2,GYM2,95
11,FSFCCU,1,2,115,65
11,FSF44UQX,1,2,123,100
11,ULFC4TP,1,2,B39,91
9,EEF88QG,2,2,348,84
9,PHF44Q3,1,2,B17,80
9,PPF44Q2G,1,2,GYM2,75
9,HBF22U,1,2,311,94
9,EEF88QG,1,2,146,65
9,UAF44Q3,1,2,B27,65
10,FSFC8,2,2,125,72
12,SHF88U,1,2,327,75
9,PPF44Q2G,2,2,GYM2,95
9,PPF44Q3G,1,2,GYM2,100
11,MRF44,2,2,107,80
9,MEF44HG,1,2,208,94
9,SCF44,1,2,141,80
9,PPF44Q2B,2,2,GYM3,95
9,PPF44Q3B,1,2,GYM3,100
11,FSF44UQX,1,2,123,65
9,MKF44,1,2,322,85
9,EEFG4HG,7,2,246,94
9,FSFC8,2,2,125,76
11,FSFCCU,1,2,115,85
9,EEFG4HH,2,2,346,96
9,PGF44Q3C,1,2,GYM1,90
9,PPF44Q2G,2,2,GYM2,85
9,HGF87XHD,1,2,325,82
10,EEF88QG,1,2,146,86
10,SCF44QT,1,2,139,65
12,ULFC4TP,1,2,B39,83
10,FSFC8,1,2,113,80
12,MQF44QQY,2,2,204A,100
10,PPF44Q3B,2,2,GYM3,90
10,UAF44H2,1,2,B27,98
9,MEF44,1,2,219,65
9,PPF44Q3G,2,2,GYM2,85
9,UAF44Q2,1,2,B27,65
9,SLF44,1,2,338,83
9,MEF44,1,2,219,65
12,HBF22U,1,2,311,95
10,PPF44Q2G,1,2,GYM2,65
10,SLF88QQ3,1,2,247,65
10,SLF88QQ2,1,2,247,78
10,UAF44Q3,1,2,B27,65
12,FQF44QQY,2,2,216,84
10,HUF44UQX,1,2,333,96
9,MRF44,2,2,107,88
11,EEF88HG,2,2,348,99
11,FJFCCU,1,2,124,72
9,SHF82H,1,2,228,100
11,FSF44UQX,1,2,123,65
10,EEF88,1,2,334B,70
10,FSFC8,2,2,125,80
9,SHFC2TM,1,2,149,85
9,PPF44Q2G,2,2,GYM2,100
9,PPF44Q3G,1,2,GYM2,100
9,SHF82H,1,2,228,100
9,SHFC2TM,1,2,149,100
9,SLF88QQ2,1,2,247,65
9,UAF44Q3,1,2,B27,65
9,EEF88,1,2,334B,71
10,FSFC8,2,2,125,70
9,PPF44Q2G,1,2,GYM2,100
9,PPF44Q3G,2,2,GYM2,97
9,HGF87QQD,7,2,313,88
10,SPF44H,1,2,229,95
12,FJFCCU,1,2,124,94
11,ULFC4TP,1,2,B39,67
10,HUF44QT,1,2,316,77
10,SCF44,1,2,141,83
10,SCF44,1,2,141,86
9,EEFG4,3,2,126,65
12,EEF44U,2,2,347,87
10,PPF44Q2G,1,2,GYM2,90
10,UAF44H3,1,2,B27,100
10,MRF44,1,2,104,65
10,HFF44QQB,1,2,315,86
9,SHFC2TM,1,2,149,95
12,BCF44T,21,2,204,65
12,PGF44Q3C,1,2,GYM1,75
10,EEF88HG,1,2,146,93
9,MRF44,1,2,104,75
9,PGF44Q2C,1,2,GYM1,75
9,PGF44Q3C,1,2,GYM1,75
9,HGF87XHD,1,2,325,92
9,PGF44Q3C,1,2,GYM1,75
9,SLF88QQ2,1,2,247,70
9,FSFC8,2,2,125,82
9,MKF44,1,2,322,88
12,FSFCCU,1,2,115,70
9,HGF87QQD,7,2,313,78
10,HFF44QQB,1,2,315,65
10,SPF44H,1,2,229,96
9,PPF44Q2B,2,2,GYM3,85
9,UAF44Q3,1,2,B27,70
10,SCF44QG,1,2,139,85
9,SHF82,1,2,228,65
9,PPF44Q2G,1,2,GYM2,100
9,PPF44Q3G,2,2,GYM2,98
10,PPF44Q2B,2,2,GYM3,85
10,SLF88QQ3,1,2,247,72
9,MEF44QG,1,2,208,80
11,MQF22C,1,2,207,95
9,SHFC2TM,1,2,149,65
11,SCF44QT,1,2,139,65
10,PPF44Q2G,1,2,GYM2,100
10,UAF44H3,1,2,B27,100
9,SLF44,1,2,338,77
11,MRF44,1,2,104,80
9,HGF87QQD,7,2,313,66
10,HUF44QWD,1,2,326,80
10,HUF44UQX,1,2,333,96
11,FJFCCU,1,2,124,72
10,MQF44QWF,1,2,221,65
12,UAF88H3,1,2,B27,100
11,HUF44QG,1,2,316,65
9,MKF44,1,2,322,85
12,PPF44Q2G,1,2,GYM2,100
12,PPF44Q3G,2,2,GYM2,100
12,PGF44Q2C,1,2,GYM1,90
12,PGF44Q3C,1,2,GYM1,90
9,FKFC4,1,2,114,70
9,HFF44QQB,1,2,315,83
12,BCF44T,21,2,204,72
10,UAF44Q2,1,2,B27,70
9,EEF88QG,1,2,146,81
10,SLF88QQ3,1,2,247,65
9,MEF44,1,2,219,88
10,EEF88QG,2,2,348,84
12,EEF44U,2,2,347,95
11,FSFCCU,1,2,115,90
11,SPF44H,1,2,229,96
9,HFF44QQB,1,2,315,66
9,EEFG4,3,2,126,75
12,FSF44UQX,1,2,123,65
10,ULFC4TP,1,2,B39,65
9,SHFC2TM,1,2,149,90
11,SPF44H,1,2,229,96
9,SHFC2TM,1,2,149,65
12,EEF22C,1,2,350,80
10,EEF88H,1,2,334B,90
9,FSFC8,1,2,113,78
9,SLF88QQ3,1,2,247,71
9,UAF44Q2,1,2,B27,69
10,PPF44Q2B,2,2,GYM3,80
10,PPF44Q3B,2,2,GYM3,80
12,SRF22U,1,2,341,85
9,PHF44Q3,1,2,B17,82
9,PPF44Q2G,1,2,GYM2,80
9,UAF44Q2,1,2,B27,69
9,UAF44Q3,1,2,B27,70
9,MRF44,2,2,107,65
9,EEFG4,3,2,126,81
9,SLF44QW,1,2,328B,74
10,PPF44Q2G,1,2,GYM2,100
10,PPF44Q3G,1,2,GYM2,100
12,FJFGG,1,2,124,67
9,HGF87QQD,1,2,321,65
10,FSFC8,2,2,125,83
9,MEF44H,1,2,219,90
12,BCF44T,21,2,204,94
12,PPF44Q3G,2,2,GYM2,100
9,MEF44QG,1,2,208,88
10,FSFC8,2,2,125,75
9,HGF87QTD,1,2,334A,74
12,EEFGGQQC,1,2,250,65
9,SLF44,1,2,338,82
11,FMF44UQX,1,2,116,95
9,PPF44Q2B,1,2,GYM3,77
9,PPF44Q3B,2,2,GYM3,90
10,EEF22C,1,2,350,65
9,SLF44,1,2,338,76
9,SLF44,1,2,338,73
9,HGF87QQD,7,2,313,84
11,EEFGGQQC,1,2,250,65
10,PPF44Q2G,2,2,GYM2,100
10,PPF44Q3G,2,2,GYM2,100
9,HGF87QTD,1,2,334A,70
9,EEFG4HH,2,2,346,90
9,FSFC8H,1,2,113,92
11,PGF44Q2C,1,2,GYM1,100
11,SLF88QQ3,1,2,247,68
10,MRF44,1,2,104,68
9,HGF87HQD,7,2,313,90
10,EEF88QG,2,2,348,79
9,PHF44H2,1,2,B17,97
9,PPF44Q3G,2,2,GYM2,95
9,FSFC8H,1,2,113,92
12,FSFCCU,1,2,115,80
11,EEF22C,1,2,350,65
9,SLF44HG,1,2,231,93
10,PPF44Q2B,2,2,GYM3,65
10,SLF88QQ3,1,2,247,66
9,HGF87QQD,1,2,321,75
9,MEF44HT,1,2,208,95
10,PPF44Q2G,2,2,GYM2,95
10,UAF44H3,1,2,B27,100
9,PHF44Q2,1,2,B17,65
9,PPF44Q3B,2,2,GYM3,90
10,MRF44,2,2,107,85
11,SCF44QT,1,2,139,65
10,SCF44QT,1,2,139,65
11,ULFC4TP,1,2,B39,65
12,PGF44Q3C,1,2,GYM1,100
11,MQF44QWF,1,2,221,80
9,HGF87QTD,1,2,334A,66
11,FSF44UQX,1,2,123,98
9,SLF44QG,1,2,231,82
12,FSF44UQX,1,2,123,100
11,SLF88QQ3,1,2,247,73
11,UAF88Q2,1,2,B27,80
9,EEFG4H,3,2,126,90
9,MEF44,1,2,219,70
10,EEF88,1,2,334B,80
9,FKFC4H,1,2,114,100
12,MPF22U,1,2,205,74
12,SDF88TV,1,2,332,90
10,PPF44Q2B,1,2,GYM3,100
10,PPF44Q3B,1,2,GYM3,100
12,BCF44T,21,2,204,95
12,PPF44Q3G,2,2,GYM2,90
10,BCF44T,31,2,204,100
10,PPF44Q2B,2,2,GYM3,95
12,BCF44T,21,2,204,78
9,EEF88QG,1,2,146,88
9,MKF44H,1,2,322,91
9,SCF44H,2,2,138,93
9,SLF44QW,1,2,328B,85
11,FLFCCU,1,2,121,86
9,SCF44H,2,2,138,97
12,EEF44U,2,2,347,80
11,PGF44Q2C,1,2,GYM1,95
11,PGF44Q3C,1,2,GYM1,98
11,EEF84QFT,1,2,331,85
12,SRF22U,1,2,341,98
10,HFF44QQB,1,2,315,71
12,SDF88TV,1,2,332,100
12,AQF44QQY,2,2,216,86
12,EEF44U,2,2,347,87
9,SHF82H,1,2,228,91
9,SLF44QW,1,2,328B,67
10,EEF88QG,2,2,348,65
9,SCF44,1,2,141,87
9,PGF44Q2C,1,2,GYM1,98
9,PHF44H3,1,2,B17,97
9,SHFC2TM,1,2,149,65
9,HGF87QQD,7,2,313,80
11,FJFCCU,1,2,124,99
12,PPF44Q2G,2,2,GYM2,78
10,PGF44Q2C,1,2,GYM1,90
10,PGF44Q3C,1,2,GYM1,90
9,HGF87XHD,1,2,325,84
12,EEF44U,1,2,349,95
10,PPF44Q2B,1,2,GYM3,100
10,PPF44Q3B,1,2,GYM3,100
12,BCF44T,21,2,204,90
12,PPF44Q3G,1,2,GYM2,100
9,HGF87HGD,1,2,334A,95
10,HUF44UQX,1,2,333,100
9,EEFG4HH,2,2,346,92
9,MEF44HG,1,2,208,93
9,HGF87HGD,1,2,334A,95
9,HGF87QQD,7,2,313,82
12,HQF44QQY,2,2,317,96
10,HUF44QG,1,2,316,75
11,PPF44Q3G,2,2,GYM2,85
11,UAF88H2,1,2,B27,90
9,MEF44,1,2,219,70
11,FJFCCU,1,2,124,98
9,PPF44Q2G,2,2,GYM2,98
9,PPF44Q3G,2,2,GYM2,97
11,SPF44H,1,2,229,98
11,EEF84QF,1,2,331,83
9,EEF84HF,1,2,331,92
12,HQF44QQY,2,2,317,96
12,FMF44UQX,1,2,116,70
11,FSF44UQX,1,2,123,100
12,SRF22U,1,2,341,78
12,EEF44U,2,2,347,80
12,FMF44UQX,1,2,116,98
11,MRF44H,1,2,104,92
10,FJFCCU,1,2,124,75
10,EEF84QF,1,2,331,87
11,EEF84QF,1,2,331,65
9,PHF44Q2,1,2,B17,89
9,PPF44Q3B,1,2,GYM3,92
9,SHFC2TM,1,2,149,65
10,HUF44UQX,1,2,333,96
11,FLFCCU,1,2,121,96
9,EEFG4HG,7,2,246,96
9,SLF44HG,1,2,231,99
10,EEF84HF,1,2,331,94
9,PPF44Q2B,1,2,GYM3,85
9,PPF44Q3B,2,2,GYM3,90
11,EEFGGQQC,1,2,250,82
11,FLFCCU,1,2,121,100
9,EEFG4,3,2,126,65
10,FSFC8,2,2,125,78
11,UQF44QQY,2,2,216,91
9,MEF44QT,1,2,208,68
10,HFF44QQB,1,2,315,79
12,EEF44U,1,2,349,92
10,MRF44H,2,2,107,91
11,FJFCCU,1,2,124,91
12,FSF44UQX,1,2,123,100
10,HFF44QQB,1,2,315,75
11,SHFC2TM,1,2,149,70
9,EEF88QG,1,2,146,86
11,SPF44H,1,2,229,94
9,MKF44,1,2,322,85
10,MRF44,1,2,104,68
9,FKFC4H,1,2,114,98
9,FKFC4H,1,2,114,99
12,BCF44T,21,2,204,81
12,PPF44Q3B,2,2,GYM3,90
10,MRF44H,2,2,107,93
12,BCF44T,31,2,204,67
12,PGF44Q2C,1,2,GYM1,90
9,SLF44H,1,2,338,95
12,AUFCCTA,1,2,232,100
10,PPF44Q2G,2,2,GYM2,97
10,PPF44Q3G,2,2,GYM2,100
12,AUFCCTA,1,2,232,98
11,FLFCCU,1,2,121,95
10,SCF44,2,2,138,86
11,HUF44QG,1,2,316,65
10,BCF44T,21,2,204,94
10,PPF44Q3B,1,2,GYM3,100
9,HGF87QGD,1,2,334A,70
12,SHF88U,1,2,327,75
9,HGF87XHD,1,2,325,93
10,BCF44T,31,2,204,95
10,PPF44Q2B,1,2,GYM3,100
12,AUFCCTA,1,2,232,90
9,SLF44QG,1,2,231,81
9,EEF88,1,2,334B,65
10,HUF44QG,1,2,316,75
10,SCF44,1,2,141,84
12,HBF22U,1,2,311,93
9,SHF82H,1,2,228,90
9,EEF88QG,2,2,348,65
9,SHF82H,1,2,228,96
11,HFF44QQB,1,2,315,71
9,HGF87QTD,5,2,314,68
10,FSFCCU,1,2,115,67
12,EEF44U,2,2,347,93
12,EEF44U,2,2,347,94
9,MRF44H,2,2,107,96
12,BCF44T,31,2,204,80
12,PPF44Q2B,2,2,GYM3,95
10,PPF44Q2B,1,2,GYM3,100
10,PPF44Q3B,2,2,GYM3,90
9,PPF44Q2G,1,2,GYM2,65
9,PPF44Q3G,1,2,GYM2,65
9,SCF44H,2,2,138,93
10,FSFCCU,1,2,115,75
12,EEF44U,1,2,349,92
9,PPF44Q2B,1,2,GYM3,100
9,UAF44Q3,1,2,B27,80
9,HGF87HGD,1,2,334A,95
10,PPF44Q2B,2,2,GYM3,90
10,UAF44Q3,1,2,B27,80
9,MEF44,1,2,219,80
12,AUFCCTA,1,2,232,85
9,SHF82H,1,2,228,94
11,EEF22C,1,2,350,88
12,MPF22U,1,2,205,82
10,ULFC4TP,1,2,B39,100
12,PPF44Q2B,2,2,GYM3,90
12,FSF44UQX,1,2,123,92
10,BCF44T,31,2,204,100
10,PPF44Q2B,2,2,GYM3,90
9,EEF84QF,1,2,331,80
10,MRF44,2,2,107,82
11,SRF22U,1,2,341,80
12,EEF44U,2,2,347,84
9,PPF44Q2B,2,2,GYM3,95
9,PPF44Q3B,1,2,GYM3,67
11,SRF22U,1,2,341,92
9,HGF87HGD,1,2,334A,90
10,HUF44UQX,1,2,333,97
10,SCF44,2,2,138,70
